"species"	"forest"	"time"
"brun"	"andean"	0.304166667
"brun"	"andean"	0.347208333
"brun"	"andean"	0.65625
"brun"	"andean"	0.442333333
"brun"	"andean"	0.280541667
"brun"	"andean"	0.377083333
"brun"	"andean"	0.733333333
"brun"	"andean"	0.695125
"brun"	"andean"	0.740958333
"brun"	"andean"	0.470833333
"brun"	"andean"	0.275666667
"brun"	"andean"	0.334
"brun"	"andean"	0.31875
"brun"	"andean"	0.273583333
"brun"	"andean"	0.336083333
"brun"	"reforestation"	0.257625
"brun"	"reforestation"	0.258333333
"brun"	"reforestation"	0.26875
"brun"	"reforestation"	0.708333333
"brun"	"reforestation"	0.692333333
"brun"	"reforestation"	0.250666667
"brun"	"reforestation"	0.270833333
"brun"	"reforestation"	0.29375
"brun"	"reforestation"	0.263875
"brun"	"reforestation"	0.263166667
"brun"	"reforestation"	0.616666667
"brun"	"reforestation"	0.57775
"brun"	"reforestation"	0.70275
"brun"	"reforestation"	0.664583333
"brun"	"reforestation"	0.255416667
"brun"	"reforestation"	0.694416667
"brun"	"reforestation"	0.672916667
"brun"	"reforestation"	0.649291667
"brun"	"reforestation"	0.250666667
"brun"	"reforestation"	0.6965
"brun"	"reforestation"	0.733333333
"brun"	"reforestation"	0.66875
"brun"	"reforestation"	0.285416667
"brun"	"reforestation"	0.734
"brun"	"reforestation"	0.747083333
"brun"	"reforestation"	0.266666667
"brun"	"reforestation"	0.3125
"brun"	"reforestation"	0.318041667
"brun"	"reforestation"	0.665958333
"brun"	"reforestation"	0.278333333
"brun"	"reforestation"	0.584
"brun"	"reforestation"	0.264583333
"brun"	"reforestation"	0.700666667
"brun"	"reforestation"	0.3075
"torq"	"andean"	0.679166667
"torq"	"andean"	0.378458333
"torq"	"andean"	0.355416667
"torq"	"andean"	0.358333333
"torq"	"andean"	0.313166667
"torq"	"andean"	0.5575
"torq"	"andean"	0.3325
"torq"	"andean"	0.329833333
"torq"	"andean"	0.3375
"torq"	"andean"	0.715
"torq"	"andean"	0.39025
"torq"	"andean"	0.289583333
"torq"	"andean"	0.260416667
"torq"	"andean"	0.257625
"torq"	"andean"	0.400666667
"torq"	"andean"	0.299291667
"torq"	"andean"	0.325
"torq"	"andean"	0.69
"torq"	"andean"	0.328458333
"torq"	"andean"	0.373583333
"torq"	"andean"	0.345833333
"torq"	"andean"	0.459708333
"torq"	"reforestation"	0.325666667
"torq"	"reforestation"	0.260416667
"torq"	"reforestation"	0.272916667
"torq"	"reforestation"	0.3125
"torq"	"reforestation"	0.276375
"torq"	"reforestation"	0.275
"torq"	"reforestation"	0.681916667
"torq"	"reforestation"	0.716666667
"torq"	"reforestation"	0.465958333
"torq"	"reforestation"	0.734
"torq"	"reforestation"	0.359708333
"mille"	"andean"	0.745125
"mille"	"andean"	0.238875
"mille"	"andean"	0.5875
"mille"	"andean"	0.326375
"mille"	"andean"	0.354166667
"mille"	"andean"	0.372208333
"mille"	"andean"	0.247916667
"mille"	"andean"	0.251375
"mille"	"andean"	0.561083333
"mille"	"andean"	0.730541667
"mille"	"andean"	0.270125
"mille"	"andean"	0.251375
"mille"	"andean"	0.525666667
"mille"	"andean"	0.404166667
"mille"	"andean"	0.75275
"mille"	"andean"	0.50625
"mille"	"andean"	0.2715
"mille"	"andean"	0.254166667
"mille"	"andean"	0.295833333
"mille"	"andean"	0.254833333
"mille"	"andean"	0.493041667
"mille"	"andean"	0.30275
"mille"	"andean"	0.75625
"mille"	"andean"	0.260416667
"mille"	"andean"	0.632625
"mille"	"andean"	0.256916667
"mille"	"reforestation"	0.494166667
"mille"	"reforestation"	0.2965
"rufi"	"andean"	0.298583333
"rufi"	"andean"	0.313166667
"rufi"	"andean"	0.505541667
"rufi"	"andean"	0.254166667
"rufi"	"andean"	0.301375
"rufi"	"andean"	0.336791667
"rufi"	"andean"	0.49375
"rufi"	"andean"	0.263875
"rufi"	"andean"	0.659
"rufi"	"andean"	0.376375
"rufi"	"andean"	0.4215
"rufi"	"andean"	0.751375
"rufi"	"andean"	0.753458333
"rufi"	"andean"	0.648583333
"rufi"	"andean"	0.745833333
"rufi"	"andean"	0.744416667
"rufi"	"andean"	0.6125
"rufi"	"andean"	0.248583333
"rufi"	"andean"	0.742333333
"rufi"	"andean"	0.249291667
"rufi"	"andean"	0.316666667
"rufi"	"andean"	0.270125
"rufi"	"andean"	0.754166667
"rufi"	"andean"	0.758333333
"rufi"	"andean"	0.701375
"rufi"	"andean"	0.747208333
"rufi"	"andean"	0.26525
"rufi"	"andean"	0.357625
"rufi"	"andean"	0.413166667
"rufi"	"andean"	0.472916667
"rufi"	"andean"	0.754166667
"rufi"	"andean"	0.389166667
"rufi"	"andean"	0.732625
"rufi"	"andean"	0.36525
"rufi"	"andean"	0.577083333
"rufi"	"reforestation"	0.308333333
"rufi"	"reforestation"	0.27775
"rufi"	"reforestation"	0.5625
"rufi"	"reforestation"	0.45625
"goud"	"andean"	0.32125
"goud"	"andean"	0.622083333
"goud"	"andean"	0.632625
"goud"	"andean"	0.33875
"goud"	"andean"	0.51525
